collection_ID	collection_start_date	sex	collection_comment	developmental_stage	collection_end_date	GPS_qualifier	trap_duration	f2	species_identification_method	attractant	duration.check	trap_number	species	GPS_latitude	sample_count	trap_type	GPS_longitude	NotEmpty	repeateInstance	sample_ID
soroti_collection_00190	2015-07-08	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-08	IA	1		MORPHO	none	0	12	Culex sp.	1.717417	60	PSC	33.736604	notEmpty	FALSE	soroti_sample_00001
soroti_collection_00190	2015-07-08	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-08	IA	1		MORPHO	none	0	12	Anopheles funestus sensu lato	1.717417	22	PSC	33.736604	notEmpty	TRUE	soroti_sample_00002
soroti_collection_00190	2015-07-08	male	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-08	IA	1		MORPHO	none	0	12	Anopheles gambiae sensu lato	1.717417	38	PSC	33.736604	notEmpty	TRUE	soroti_sample_00003
soroti_collection_00190	2015-07-08	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-08	IA	1		MORPHO	none	0	12	Mansonia genus sp.	1.717417	1	PSC	33.736604	notEmpty	TRUE	soroti_sample_00004
soroti_collection_00190	2015-07-08	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-08	IA	1		MORPHO	none	0	12	Anopheles gambiae sensu lato	1.717417	31	PSC	33.736604	notEmpty	TRUE	soroti_sample_00005
soroti_collection_00190	2015-07-08	female	This is the sum of 12 houses/traps. There was one night of collection per trap, but collection were made over 1nights.	adult	2015-07-08	IA	1		MORPHO	none	0	12	Culex sp.	1.717417	101	PSC	33.736604	notEmpty	TRUE	soroti_sample_00006
soroti_collection_00032	2015-07-08	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-11	IA	1		MORPHO	none	3	3	Anopheles funestus sensu lato	1.717417	53	HLC-IN	33.736604	notEmpty	FALSE	soroti_sample_00007
soroti_collection_00032	2015-07-08	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-11	IA	1		MORPHO	none	3	3	Culex sp.	1.717417	380	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00008
soroti_collection_00032	2015-07-08	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-11	IA	1		MORPHO	none	3	3	Anopheles gambiae sensu lato	1.717417	63	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00009
soroti_collection_00032	2015-07-08	female	This is the sum of 3 houses/traps. There was one night of collection per trap, but collection were made over 3nights.	adult	2015-07-11	IA	1		MORPHO	none	3	3	Mansonia genus sp.	1.717417	66	HLC-IN	33.736604	notEmpty	TRUE	soroti_sample_00010
